DateRcv,SiteNo,ArtNo,ReceiveVamt,ReceiveQty,,,,,
14/1/2022,3,7,394.151,12,,,,,
14/1/2022,3,0,414.138,23,,,,,
14/1/2022,3,7,394.151,12,,,,,
14/1/2022,2,9,270.5835,12,,,,,
14/1/2022,2,3,246.1,23,,,,,
14/1/2022,2,6,910.8,28,,,,,
14/1/2022,2,2,371.91,11,,,,,
14/1/2022,2,7,2108.64,66,,,,,
15/1/2022,2,2,1089.165,33,,,,,
15/1/2022,1,6,1366.2,41,,,,,
15/1/2022,2,3,246.1,23,,,,,
15/1/2022,1,7,772.087,23,,,,,
15/1/2022,1,7,386.0435,12,,,,,
15/1/2022,1,4,791.637,35,,,,,
15/1/2022,2,0,414.069,23,,,,,
15/1/2022,2,7,780.873,23,,,,,
15/1/2022,2,4,1031.55,45,,,,,
15/1/2022,1,0,207.023,12,,,,,
15/1/2022,1,3,246.1,23,,,,,
15/1/2022,2,9,270.572,12,,,,,
15/1/2022,2,8,1904.4,41,,,,,
15/1/2022,2,8,952.2,21,,,,,
15/1/2022,2,4,394.55925,17,,,,,
15/1/2022,2,6,683.1,21,,,,,
15/1/2022,4,7,759,23,,,,,
15/1/2022,4,6,910.8,28,,,,,
15/1/2022,4,4,395.8185,17,,,,,
15/1/2022,4,5,984.78525,17,,,,,
15/1/2022,4,5,984.78525,17,,,,,
15/1/2022,4,0,621,35,,,,,
15/1/2022,4,9,270.7215,12,,,,,
15/1/2022,4,7,386.0435,12,,,,,
15/1/2022,4,7,772.087,23,,,,,
15/1/2022,4,2,759,23,,,,,
15/1/2022,0,3,246.1,23,,,,,
15/1/2022,0,0,207.0345,12,,,,,
15/1/2022,0,9,270.572,12,,,,,
15/1/2022,0,6,910.8,28,,,,,
15/1/2022,3,0,414.023,23,,,,,
15/1/2022,3,2,759,23,,,,,
15/1/2022,3,7,772.087,23,,,,,
15/1/2022,3,7,386.0435,12,,,,,
15/1/2022,3,3,246.1,23,,,,,
15/1/2022,3,6,1593.9,48,,,,,
15/1/2022,3,9,270.7215,12,,,,,
15/1/2022,3,4,395.8185,17,,,,,
16/1/2022,3,5,986.30325,17,,,,,
16/1/2022,3,3,246.1,23,,,,,
16/1/2022,3,0,207,12,,,,,
16/1/2022,3,7,381.478,12,,,,,
16/1/2022,3,7,381.478,12,,,,,
16/1/2022,3,6,1366.2,41,,,,,
16/1/2022,2,4,264.5,12,,,,,
16/1/2022,1,6,1366.2,41,,,,,
16/1/2022,1,7,762.956,23,,,,,
16/1/2022,1,7,762.956,23,,,,,
16/1/2022,1,0,207,12,,,,,
16/1/2022,2,6,683.1,21,,,,,
16/1/2022,1,4,791.2575,35,,,,,
16/1/2022,4,5,986.30325,17,,,,,
16/1/2022,4,6,683.1,21,,,,,
16/1/2022,4,0,621,35,,,,,
16/1/2022,4,7,759,23,,,,,
16/1/2022,4,9,270.595,12,,,,,
16/1/2022,4,3,246.1,23,,,,,
16/1/2022,4,7,763.14,23,,,,,
16/1/2022,4,7,763.14,23,,,,,
16/1/2022,2,3,246.1,23,,,,,
16/1/2022,2,0,621.0345,35,,,,,
16/1/2022,1,9,270.595,12,,,,,
16/1/2022,1,3,246.1,23,,,,,
16/1/2022,0,0,207.0115,12,,,,,
16/1/2022,0,6,683.1,21,,,,,
16/1/2022,0,3,246.1,23,,,,,
17/1/2022,4,0,414,23,,,,,
17/1/2022,4,7,380.673,12,,,,,
17/1/2022,4,7,380.673,12,,,,,
17/1/2022,4,4,395.922,17,,,,,
17/1/2022,4,7,379.5,12,,,,,
17/1/2022,4,9,270.3995,12,,,,,
17/1/2022,4,2,759,23,,,,,
17/1/2022,4,5,970.209,17,,,,,
17/1/2022,4,6,455.4,14,,,,,
17/1/2022,2,2,728.64,22,,,,,
17/1/2022,1,7,380.673,12,,,,,
17/1/2022,1,7,380.673,12,,,,,
17/1/2022,1,0,207,12,,,,,
17/1/2022,0,6,455.4,14,,,,,
17/1/2022,1,4,395.922,17,,,,,
17/1/2022,0,9,270.595,12,,,,,
17/1/2022,1,9,270.3995,12,,,,,
17/1/2022,2,3,246.1,23,,,,,
17/1/2022,0,0,207,12,,,,,
17/1/2022,2,5,1581.25,29,,,,,
17/1/2022,1,3,246.1,23,,,,,
17/1/2022,1,6,910.8,28,,,,,
17/1/2022,2,6,455.4,14,,,,,
17/1/2022,3,7,380.673,12,,,,,
17/1/2022,3,6,1138.5,35,,,,,
17/1/2022,3,9,270.3995,12,,,,,
17/1/2022,3,2,759,23,,,,,
9/4/2022,2,0,918.85,54,,,,,
18/1/2022,3,4,396.198,17,,,,,
18/1/2022,3,5,950.544,17,,,,,
18/1/2022,3,7,379.5,12,,,,,
18/1/2022,3,6,455.4,14,,,,,
18/1/2022,3,0,414,23,,,,,
18/1/2022,0,3,246.1,23,,,,,
18/1/2022,0,6,455.4,14,,,,,
18/1/2022,1,6,910.8,28,,,,,
18/1/2022,1,4,395.715,17,,,,,
18/1/2022,4,7,759,23,,,,,
18/1/2022,4,0,414,23,,,,,
18/1/2022,4,3,246.1,23,,,,,
18/1/2022,4,9,270.112,12,,,,,
18/1/2022,4,5,950.544,17,,,,,
18/1/2022,4,6,455.4,14,,,,,
18/1/2022,2,9,270.3995,12,,,,,
18/1/2022,2,6,455.4,14,,,,,
18/1/2022,2,2,1464.87,44,,,,,
9/4/2022,2,1,2825.37865,28,,,,,
9/4/2022,2,1,941.7925,9,,,,,
9/4/2022,2,6,724.5,21,,,,,
9/4/2022,2,3,246.1,23,,,,,
19/1/2022,3,7,1354.746,46,,,,,
19/1/2022,3,7,338.6865,12,,,,,
19/1/2022,3,0,445.234,23,,,,,
19/1/2022,3,6,1776.1359,48,,,,,
19/1/2022,3,5,774.61125,17,,,,,
19/1/2022,3,2,759,23,,,,,
19/1/2022,3,3,246.1,23,,,,,
19/1/2022,3,4,395.784,17,,,,,
19/1/2022,3,9,540.822,23,,,,,
19/1/2022,0,4,394.818,17,,,,,
19/1/2022,0,0,211.301,12,,,,,
19/1/2022,0,6,227.7,7,,,,,
19/1/2022,0,9,270.112,12,,,,,
19/1/2022,0,3,246.1,23,,,,,
19/1/2022,1,9,270.411,12,,,,,
19/1/2022,1,7,339.8365,12,,,,,
19/1/2022,1,7,339.8365,12,,,,,
19/1/2022,1,0,218.569,12,,,,,
19/1/2022,4,4,395.0595,17,,,,,
19/1/2022,4,0,207,12,,,,,
19/1/2022,4,7,679.673,23,,,,,
19/1/2022,4,7,339.8365,12,,,,,
19/1/2022,4,6,252.0777,7,,,,,
19/1/2022,2,6,227.7,7,,,,,
19/1/2022,1,6,253.7337,7,,,,,
19/1/2022,2,7,1725.23,66,,,,,
19/1/2022,2,0,843.41,44,,,,,
19/1/2022,4,7,379.5,12,,,,,
20/1/2022,0,9,270.411,12,,,,,
20/1/2022,0,0,220.363,12,,,,,
20/1/2022,0,6,1522.4022,41,,,,,
20/1/2022,0,3,738.3,69,,,,,
20/1/2022,2,6,1268.6685,35,,,,,
20/1/2022,2,3,492.2,46,,,,,
20/1/2022,2,5,774.61125,17,,,,,
20/1/2022,3,0,1344.81,69,,,,,
20/1/2022,3,4,395.7495,17,,,,,
20/1/2022,1,0,224.135,12,,,,,
20/1/2022,1,0,672.405,35,,,,,
20/1/2022,3,8,952.2,21,,,,,
20/1/2022,3,9,540.109,23,,,,,
20/1/2022,3,6,1528.7364,41,,,,,
20/1/2022,3,3,492.2,46,,,,,
20/1/2022,2,9,270.411,12,,,,,
20/1/2022,3,5,734.31525,17,,,,,
20/1/2022,3,5,734.31525,17,,,,,
20/1/2022,2,4,1587,69,,,,,
20/1/2022,2,5,1183.35,28,,,,,
20/1/2022,2,0,1297.89,68,,,,,
20/1/2022,2,7,1749.15,67,,,,,
20/1/2022,1,6,2038.3152,55,,,,,
20/1/2022,1,9,270.0545,12,,,,,
20/1/2022,3,7,1148.62,46,,,,,
20/1/2022,1,4,1187.2485,52,,,,,
20/1/2022,1,3,246.1,23,,,,,
20/1/2022,1,7,287.155,12,,,,,
20/1/2022,1,7,574.31,23,,,,,
20/1/2022,4,6,1273.947,35,,,,,
20/1/2022,4,3,246.1,23,,,,,
20/1/2022,4,2,759,23,,,,,
20/1/2022,4,0,828,46,,,,,
20/1/2022,4,7,759,23,,,,,
20/1/2022,4,4,395.7495,17,,,,,
20/1/2022,4,9,540.109,23,,,,,
20/1/2022,4,7,574.31,23,,,,,
20/1/2022,4,5,734.31525,17,,,,,
21/1/2022,2,2,759,23,,,,,
21/1/2022,1,9,540.316,23,,,,,
21/1/2022,1,3,246.1,23,,,,,
21/1/2022,3,7,793.7415,35,,,,,
21/1/2022,3,8,952.2,21,,,,,
21/1/2022,2,6,1019.1576,28,,,,,
21/1/2022,1,5,728.3985,17,,,,,
21/1/2022,1,0,667.8855,35,,,,,
21/1/2022,1,4,791.8095,35,,,,,
21/1/2022,1,8,952.2,21,,,,,
21/1/2022,1,7,529.161,23,,,,,
21/1/2022,1,6,1530.6408,41,,,,,
21/1/2022,3,9,270.158,12,,,,,
21/1/2022,3,0,1113.1425,58,,,,,
21/1/2022,2,5,729.93375,17,,,,,
21/1/2022,3,5,728.3985,17,,,,,
21/1/2022,3,2,759,23,,,,,
21/1/2022,3,6,1020.4272,28,,,,,
21/1/2022,2,8,952.2,21,,,,,
21/1/2022,2,3,492.2,46,,,,,
21/1/2022,0,6,1019.1576,28,,,,,
21/1/2022,0,9,270.0545,12,,,,,
21/1/2022,0,5,728.48475,17,,,,,
21/1/2022,0,0,222.824,12,,,,,
21/1/2022,0,7,262.3495,12,,,,,
21/1/2022,0,3,738.3,69,,,,,
21/1/2022,0,4,395.83575,17,,,,,
21/1/2022,0,8,952.2,21,,,,,
21/1/2022,4,0,890.514,46,,,,,
21/1/2022,4,4,791.8095,35,,,,,
21/1/2022,4,0,828,46,,,,,
21/1/2022,4,9,810.474,35,,,,,
21/1/2022,4,5,1456.797,35,,,,,
21/1/2022,4,9,540.316,23,,,,,
21/1/2022,4,6,1275.534,35,,,,,
21/1/2022,4,7,759,23,,,,,
22/1/2022,3,4,396.198,17,,,,,
22/1/2022,3,6,1021.0068,28,,,,,
22/1/2022,3,3,246.1,23,,,,,
22/1/2022,3,9,270.618,12,,,,,
22/1/2022,3,0,895.16,46,,,,,
22/1/2022,3,7,790.4985,35,,,,,
22/1/2022,2,7,1459.12,56,,,,,
22/1/2022,0,6,1020.4272,28,,,,,
22/1/2022,0,9,270.158,12,,,,,
22/1/2022,2,6,765.3204,21,,,,,
22/1/2022,0,2,759,23,,,,,
22/1/2022,2,3,246.1,23,,,,,
22/1/2022,2,9,270.158,12,,,,,
22/1/2022,0,5,726.75975,17,,,,,
22/1/2022,0,4,395.991,17,,,,,
22/1/2022,2,5,1202.67,29,,,,,
22/1/2022,0,3,492.2,46,,,,,
22/1/2022,4,7,759,23,,,,,
22/1/2022,4,0,621,35,,,,,
22/1/2022,1,6,1276.2585,35,,,,,
22/1/2022,4,3,246.1,23,,,,,
22/1/2022,4,0,671.37,35,,,,,
22/1/2022,1,3,246.1,23,,,,,
22/1/2022,1,0,447.58,23,,,,,
22/1/2022,4,6,765.6102,21,,,,,
22/1/2022,4,2,759,23,,,,,
22/1/2022,1,4,396.198,17,,,,,
22/1/2022,1,8,952.2,21,,,,,
22/1/2022,4,5,725.7075,17,,,,,
22/1/2022,1,7,526.999,23,,,,,
22/1/2022,1,5,725.7075,17,,,,,
22/1/2022,4,9,270.618,12,,,,,
23/1/2022,4,0,668.5755,35,,,,,
23/1/2022,4,8,952.2,21,,,,,
23/1/2022,4,5,725.03475,17,,,,,
23/1/2022,4,9,270.25,12,,,,,
23/1/2022,4,4,394.86975,17,,,,,
23/1/2022,4,6,765.8379,21,,,,,
23/1/2022,4,7,759,23,,,,,
23/1/2022,4,0,621,35,,,,,
23/1/2022,2,5,725.604,17,,,,,
23/1/2022,3,8,952.2,21,,,,,
23/1/2022,2,3,246.1,23,,,,,
23/1/2022,3,6,765.8379,21,,,,,
23/1/2022,3,7,532.795,23,,,,,
23/1/2022,2,2,1377.585,42,,,,,
23/1/2022,3,0,668.5755,35,,,,,
23/1/2022,2,6,765.7551,21,,,,,
23/1/2022,2,8,952.2,21,,,,,
23/1/2022,3,3,246.1,23,,,,,
23/1/2022,3,5,725.03475,17,,,,,
23/1/2022,3,2,759,23,,,,,
23/1/2022,1,6,1276.3965,35,,,,,
23/1/2022,1,4,790.809,35,,,,,
23/1/2022,1,7,266.3975,12,,,,,
23/1/2022,1,9,270.25,12,,,,,
23/1/2022,1,0,445.717,23,,,,,
23/1/2022,1,2,759,23,,,,,
23/1/2022,0,6,765.7551,21,,,,,
23/1/2022,0,3,492.2,46,,,,,
24/1/2022,4,5,724.776,17,,,,,
24/1/2022,4,0,207,12,,,,,
24/1/2022,4,7,379.5,12,,,,,
24/1/2022,4,0,445.372,23,,,,,
24/1/2022,4,6,510.1446,14,,,,,
24/1/2022,4,2,759,23,,,,,
24/1/2022,4,9,270.8595,12,,,,,
24/1/2022,4,4,393.35175,17,,,,,
24/1/2022,2,7,2601.3,100,,,,,
24/1/2022,2,0,1311,69,,,,,
24/1/2022,2,5,725.03475,17,,,,,
24/1/2022,2,6,510.5586,14,,,,,
24/1/2022,3,2,759,23,,,,,
24/1/2022,3,6,765.2169,21,,,,,
24/1/2022,3,5,724.776,17,,,,,
24/1/2022,3,9,270.8595,12,,,,,
24/1/2022,1,3,246.1,23,,,,,
24/1/2022,1,6,765.2169,21,,,,,
24/1/2022,0,3,492.2,46,,,,,
24/1/2022,1,8,952.2,21,,,,,
24/1/2022,0,7,566.076,23,,,,,
24/1/2022,0,6,510.5586,14,,,,,
24/1/2022,0,2,759,23,,,,,
24/1/2022,0,9,268.686,12,,,,,
24/1/2022,1,7,264.8565,12,,,,,
24/1/2022,1,7,529.713,23,,,,,
24/1/2022,1,4,393.35175,17,,,,,
24/1/2022,1,0,222.686,12,,,,,
24/1/2022,1,0,222.686,12,,,,,
24/1/2022,0,4,393.35175,17,,,,,
24/1/2022,1,9,270.8595,12,,,,,
25/1/2022,3,0,671.5425,35,,,,,
25/1/2022,3,0,671.5425,35,,,,,
25/1/2022,3,4,394.68,17,,,,,
25/1/2022,3,6,254.1063,7,,,,,
25/1/2022,3,7,450.501,23,,,,,
25/1/2022,3,7,225.2505,12,,,,,
25/1/2022,2,6,510.1446,14,,,,,
25/1/2022,2,2,2216.28,67,,,,,
25/1/2022,2,3,246.1,23,,,,,
25/1/2022,4,3,246.1,23,,,,,
25/1/2022,4,2,759,23,,,,,
25/1/2022,4,8,952.2,21,,,,,
25/1/2022,4,9,269.8015,12,,,,,
25/1/2022,4,6,509.6892,14,,,,,
25/1/2022,1,4,394.68,17,,,,,
25/1/2022,1,6,762.3189,21,,,,,
25/1/2022,4,0,414,23,,,,,
25/1/2022,4,7,379.5,12,,,,,
25/1/2022,4,5,724.569,17,,,,,
25/1/2022,0,6,510.1446,14,,,,,
25/1/2022,0,3,246.1,23,,,,,
26/1/2022,3,2,1518,46,,,,,
26/1/2022,3,7,706.8015,35,,,,,
26/1/2022,3,8,952.2,21,,,,,
26/1/2022,3,3,492.2,46,,,,,
26/1/2022,3,7,235.6005,12,,,,,
26/1/2022,3,4,395.6805,17,,,,,
26/1/2022,3,9,270.112,12,,,,,
26/1/2022,3,0,657.3285,35,,,,,
26/1/2022,3,5,587.00025,17,,,,,
26/1/2022,1,5,587.00025,17,,,,,
26/1/2022,1,6,242.0175,7,,,,,
26/1/2022,0,9,269.8015,12,,,,,
26/1/2022,0,6,254.1063,7,,,,,
26/1/2022,1,0,219.1095,12,,,,,
26/1/2022,1,0,219.1095,12,,,,,
26/1/2022,1,7,485.415,23,,,,,
26/1/2022,1,9,270.112,12,,,,,
26/1/2022,1,7,242.7075,12,,,,,
26/1/2022,1,7,242.7075,12,,,,,
26/1/2022,4,4,394.59375,17,,,,,
26/1/2022,4,5,587.00025,17,,,,,
26/1/2022,4,6,242.0175,7,,,,,
26/1/2022,4,0,439.254,23,,,,,
26/1/2022,4,0,439.254,23,,,,,
26/1/2022,2,9,269.8015,12,,,,,
26/1/2022,4,7,1213.5375,58,,,,,
26/1/2022,4,3,246.1,23,,,,,
26/1/2022,4,0,414,23,,,,,
27/1/2022,2,0,1300.075,68,,,,,
27/1/2022,4,9,544.479,23,,,,,
27/1/2022,2,9,270.112,12,,,,,
27/1/2022,4,4,396.2325,17,,,,,
27/1/2022,2,7,471.201,23,,,,,
27/1/2022,4,6,966.414,28,,,,,
27/1/2022,2,6,9668.004,276,,,,,
27/1/2022,3,0,221.168,12,,,,,
27/1/2022,3,9,539.534,23,,,,,
27/1/2022,3,0,662.538,35,,,,,
27/1/2022,3,8,952.2,21,,,,,
27/1/2022,3,3,492.2,46,,,,,
27/1/2022,3,7,238.8895,12,,,,,
27/1/2022,3,6,4106.0865,117,,,,,
27/1/2022,3,2,759,23,,,,,
27/1/2022,3,4,792.465,35,,,,,
27/1/2022,3,5,535.992,17,,,,,
27/1/2022,4,3,246.1,23,,,,,
27/1/2022,4,0,1105.84,58,,,,,
27/1/2022,4,2,759,23,,,,,
27/1/2022,2,8,952.2,21,,,,,
27/1/2022,1,7,241.8105,12,,,,,
27/1/2022,1,2,759,23,,,,,
27/1/2022,1,6,2416.035,69,,,,,
27/1/2022,1,9,270.411,12,,,,,
27/1/2022,1,3,492.2,46,,,,,
27/1/2022,1,4,1187.145,52,,,,,
27/1/2022,0,9,270.112,12,,,,,
27/1/2022,0,3,246.1,23,,,,,
27/1/2022,0,6,2417.001,69,,,,,
27/1/2022,0,0,219.949,12,,,,,
9/4/2022,0,3,246.1,23,,,,,
9/4/2022,0,7,302.1395,12,,,,,
28/1/2022,0,4,396.4395,17,,,,,
28/1/2022,2,6,12076.725,345,,,,,
28/1/2022,2,7,479.918,23,,,,,
28/1/2022,0,9,269.767,12,,,,,
28/1/2022,0,3,246.1,23,,,,,
28/1/2022,2,4,1587,69,,,,,
28/1/2022,2,5,1725,58,,,,,
28/1/2022,0,6,2415.345,69,,,,,
28/1/2022,0,2,759,23,,,,,
28/1/2022,0,8,952.2,21,,,,,
28/1/2022,2,3,1968.8,184,,,,,
28/1/2022,4,2,1518,46,,,,,
28/1/2022,4,4,392.21325,17,,,,,
28/1/2022,4,6,3622.8105,104,,,,,
28/1/2022,4,9,539.488,23,,,,,
28/1/2022,4,0,221.674,12,,,,,
28/1/2022,4,9,539.488,23,,,,,
28/1/2022,4,3,738.3,69,,,,,
28/1/2022,4,0,1092.5,58,,,,,
28/1/2022,4,7,1185.535,58,,,,,
28/1/2022,3,3,492.2,46,,,,,
28/1/2022,3,7,706.905,35,,,,,
28/1/2022,3,0,665.022,35,,,,,
28/1/2022,3,0,221.674,12,,,,,
28/1/2022,3,6,4105.6173,117,,,,,
28/1/2022,3,2,759,23,,,,,
28/1/2022,4,5,535.11225,17,,,,,
28/1/2022,1,8,952.2,21,,,,,
28/1/2022,1,6,7245.621,207,,,,,
28/1/2022,1,9,539.488,23,,,,,
28/1/2022,1,7,706.905,35,,,,,
28/1/2022,1,2,759,23,,,,,
28/1/2022,1,3,246.1,23,,,,,
28/1/2022,1,4,787.083,35,,,,,
28/1/2022,1,0,1108.37,58,,,,,
28/1/2022,1,0,221.674,12,,,,,
28/1/2022,3,5,535.11225,17,,,,,
9/4/2022,4,7,607.384,23,,,,,
9/4/2022,1,3,246.1,23,,,,,
9/4/2022,4,9,276,12,,,,,
9/4/2022,1,7,296.5275,12,,,,,
9/4/2022,1,6,483,14,,,,,
9/4/2022,1,6,1932,55,,,,,
9/4/2022,1,0,189.52,12,,,,,
29/1/2022,3,5,534.83625,17,,,,,
29/1/2022,3,8,952.2,21,,,,,
29/1/2022,2,6,4830.138,138,,,,,
29/1/2022,2,7,237.475,12,,,,,
29/1/2022,2,7,1187.375,58,,,,,
29/1/2022,4,6,3622.6035,104,,,,,
29/1/2022,4,5,534.83625,17,,,,,
29/1/2022,2,9,269.744,12,,,,,
29/1/2022,4,9,270.5145,12,,,,,
29/1/2022,4,0,1092.5,58,,,,,
29/1/2022,4,7,230,12,,,,,
29/1/2022,4,3,738.3,69,,,,,
29/1/2022,2,3,1722.7,161,,,,,
29/1/2022,2,5,534.888,17,,,,,
29/1/2022,2,5,534.888,17,,,,,
29/1/2022,4,7,1173.69,58,,,,,
29/1/2022,1,7,233.5535,12,,,,,
29/1/2022,1,0,668.3685,35,,,,,
29/1/2022,1,0,222.7895,12,,,,,
29/1/2022,1,6,7245.207,207,,,,,
29/1/2022,1,3,738.3,69,,,,,
29/1/2022,1,4,782.0115,35,,,,,
29/1/2022,0,9,269.744,12,,,,,
29/1/2022,0,3,246.1,23,,,,,
29/1/2022,0,6,2415.069,69,,,,,
29/1/2022,0,7,235.428,12,,,,,
29/1/2022,3,3,492.2,46,,,,,
29/1/2022,3,2,759,23,,,,,
29/1/2022,3,0,667.4025,35,,,,,
29/1/2022,3,4,387.90075,17,,,,,
29/1/2022,3,6,2173.5621,62,,,,,
29/1/2022,3,9,270.5145,12,,,,,
29/1/2022,3,7,700.6605,35,,,,,
9/4/2022,4,1,4708.9648,47,,,,,
9/4/2022,4,1,941.7925,9,,,,,
9/4/2022,4,0,406.088,23,,,,,
9/4/2022,0,6,483,14,,,,,
9/4/2022,0,1,3767.1723,38,,,,,
9/4/2022,0,1,941.7925,9,,,,,
9/4/2022,0,0,190.992,12,,,,,
9/4/2022,1,1,11301.51575,113,,,,,
9/4/2022,1,1,2825.37865,28,,,,,
9/4/2022,4,6,724.5,21,,,,,
30/1/2022,4,9,270.181,12,,,,,
30/1/2022,4,6,724.5,21,,,,,
30/1/2022,4,2,759,23,,,,,
30/1/2022,4,4,393.21375,17,,,,,
30/1/2022,3,9,270.181,12,,,,,
30/1/2022,3,3,246.1,23,,,,,
30/1/2022,3,4,393.21375,17,,,,,
30/1/2022,3,0,671.094,35,,,,,
30/1/2022,3,2,759,23,,,,,
30/1/2022,3,7,695.7615,35,,,,,
30/1/2022,3,7,695.7615,35,,,,,
30/1/2022,1,0,447.396,23,,,,,
30/1/2022,1,0,223.698,12,,,,,
30/1/2022,1,7,465.313,23,,,,,
30/1/2022,1,8,952.2,21,,,,,
30/1/2022,0,5,534.819,17,,,,,
30/1/2022,1,3,738.3,69,,,,,
30/1/2022,1,2,759,23,,,,,
30/1/2022,1,4,786.4275,35,,,,,
30/1/2022,2,7,2300,115,,,,,
30/1/2022,2,6,2415.069,69,,,,,
30/1/2022,2,7,233.5535,12,,,,,
30/1/2022,0,0,445.211,23,,,,,
30/1/2022,1,5,534.7845,17,,,,,
30/1/2022,1,9,270.181,12,,,,,
31/1/2022,0,6,241.5,7,,,,,
31/1/2022,0,5,534.7845,17,,,,,
31/1/2022,0,9,270.181,12,,,,,
31/1/2022,0,4,393.55875,17,,,,,
31/1/2022,1,4,394.5765,17,,,,,
31/1/2022,1,4,394.5765,17,,,,,
31/1/2022,1,7,237.3945,12,,,,,
31/1/2022,1,9,270.917,12,,,,,
31/1/2022,1,0,221.467,12,,,,,
31/1/2022,3,0,661.848,35,,,,,
31/1/2022,3,7,712.1835,35,,,,,
31/1/2022,3,3,246.1,23,,,,,
31/1/2022,3,4,394.5765,17,,,,,
31/1/2022,1,3,246.1,23,,,,,
31/1/2022,1,5,534.7845,17,,,,,
31/1/2022,4,8,952.2,21,,,,,
31/1/2022,4,4,394.5765,17,,,,,
31/1/2022,4,2,759,23,,,,,
31/1/2022,4,9,270.917,12,,,,,
31/1/2022,4,5,534.7845,17,,,,,
31/1/2022,2,0,1311,69,,,,,
31/1/2022,2,7,231.9205,12,,,,,
31/1/2022,2,7,231.9205,12,,,,,
